S;BKE022508SES00000002;BKE022508INV00000004;136000;BKE02;0;0;1;26SO15X20X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;137000;BKE02;0;0;1;26SO15X20X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;138000;BKE02;0;0;1;26SO20X20X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;139000;BKE02;0;0;1;26SO20X20X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;140000;BKE02;0;0;1;27BO20X20X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;141000;BKE02;0;0;1;27BO20X20X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;142000;BKE02;0;0;1;27BO20X20X20GAM;;A;UN;197,64742;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;143000;BKE02;0;0;1;27BO20X20X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;144000;BKE02;0;0;1;27BO24X24X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;145000;BKE02;0;0;1;27BO24X24X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;146000;BKE02;0;0;1;27BO40X20X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;147000;BKE02;0;0;1;27BO40X20X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;148000;BKE02;0;0;1;28ES1R100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;149000;BKE02;0;0;1;28ES1R110GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;150000;BKE02;0;0;1;28ESC1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;151000;BKE02;0;0;1;28ESC1R090GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;152000;BKE02;0;0;1;28ESC1R095GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;153000;BKE02;0;0;1;28ESC2GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;154000;BKE02;0;0;1;28ESC3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;155000;BKE02;0;0;1;28ESC3R095GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;156000;BKE02;0;0;1;28ESC4GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;157000;BKE02;0;0;1;28ESC4R140GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;158000;BKE02;0;0;1;28ESC4R140H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;159000;BKE02;0;0;1;28ESC4R150GAM;;A;UN;13111,875;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;160000;BKE02;0;0;1;28ESC4R150H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;161000;BKE02;0;0;1;28ESC5GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;162000;BKE02;0;0;1;28ESC5R0_90H21VAGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;163000;BKE02;0;0;1;28ESC5R110GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;164000;BKE02;0;0;1;28ESC5R120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;165000;BKE02;0;0;1;28ESC5R125GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;166000;BKE02;0;0;1;28ESC5R130GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;167000;BKE02;0;0;1;28ESC5R140GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;168000;BKE02;0;0;1;28ESC5R140H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;169000;BKE02;0;0;1;28ESC5R150GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;170000;BKE02;0;0;1;28ESC5R150H20_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;171000;BKE02;0;0;1;28ESC5R150H21GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;172000;BKE02;0;0;1;28ESC5R150H22GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;173000;BKE02;0;0;1;28ESC5R160GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;174000;BKE02;0;0;1;28ESC5R1_40H20VADGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;175000;BKE02;0;0;1;28ESC5R1_5H20_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;176000;BKE02;0;0;1;28ESC5R1_5H20_6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;177000;BKE02;0;0;1;28ESC5R1_5H21GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;178000;BKE02;0;0;1;28ESC5R90H21LB40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;179000;BKE02;0;0;1;28ESC5R90H21LB45GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;180000;BKE02;0;0;1;28ESCN50GAM;;A;ML;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;181000;BKE02;0;0;1;28RESC3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;182000;BKE02;0;0;1;29CAN100X33X27GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;183000;BKE02;0;0;1;29CAN100X33X27VEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;184000;BKE02;0;0;1;29CAN100X35X31_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;185000;BKE02;0;0;1;29CAN15X23X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;186000;BKE02;0;0;1;29CAN22X22X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;187000;BKE02;0;0;1;29CAN50X23PTT03GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;188000;BKE02;0;0;1;29COUV100X33X27GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;189000;BKE02;0;0;1;29COUV100X33X27VEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;190000;BKE02;0;0;1;29COUV100X35X4_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;191000;BKE02;0;0;1;29COUV15X23X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;192000;BKE02;0;0;1;29COUV22X22X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;193000;BKE02;0;0;1;29COUVCAN02GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;194000;BKE02;0;0;1;29COUVPTT03GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;195000;BKE02;0;0;1;30LAV1BAC1BV060GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;196000;BKE02;0;0;1;30LAV1BAC1BV070GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;197000;BKE02;0;0;1;30LAV2BAC1BAV60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;198000;BKE02;0;0;1;30LAV2BAC1BV100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;199000;BKE02;0;0;1;30LAV2BAC1BV120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;200000;BKE02;0;0;1;31DALLEISO40X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;201000;BKE02;0;0;1;32BT1MA2GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;202000;BKE02;0;0;1;32BT1_00A2A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;203000;BKE02;0;0;1;32BT1_00T2A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;204000;BKE02;0;0;1;32BTA1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;205000;BKE02;0;0;1;32BTA20X15X50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;206000;BKE02;0;0;1;32BTA2A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;207000;BKE02;11;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;CB2TV1302241413
S;BKE022508SES00000002;BKE022508INV00000004;208000;BKE02;8;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;CB2TV1402241478
S;BKE022508SES00000002;BKE022508INV00000004;209000;BKE02;884;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;LOT070724
S;BKE022508SES00000002;BKE022508INV00000004;210000;BKE02;660;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;LOT060425
S;BKE022508SES00000002;BKE022508INV00000004;211000;BKE02;0;0;1;32BTA2CS3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;212000;BKE02;0;0;1;32BTA2DIFFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;213000;BKE02;0;0;1;32BTA2GAM;;A;UN;743;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;214000;BKE02;0;0;1;32BTA2L100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;215000;BKE02;0;0;1;32BTAR06GAM;;A;UN;195,73;BKE2;
